,X,Y,CLUSTER
CENTER,-0.8963,-2.166,1
CENTER,0.3402,-0.4587,1
CENTER,-0.4884,-1.9176,1
CENTER,0.3053,-0.9873,1
CENTER,-0.17300000000000001,1.0315,1
CENTER,-0.6588,-2.7722,1
CENTER,0.0791,2.701,1
CENTER,0.4954,-1.7171,1
CENTER,0.7792,-2.8557,1
CENTER,-0.4061,-0.3871,1
CENTER,0.3949,-1.5225,1
CENTER,-0.1759,0.7542,1
CENTER,-0.4108,-2.4269,1
CENTER,0.1402,1.4564,1
CENTER,0.9814,-1.3002,1
CENTER,0.1161,2.334,1
CENTER,-0.1005,-0.8905,1
CENTER,0.1608,-1.1822,1
CENTER,-0.3138,-2.5689,1
CENTER,0.0518,2.0456,1
CENTER,0.3465,-1.4279,1
CENTER,-0.068,-1.6138,1
CENTER,-0.8590000000000001,-1.4541,1
CENTER,0.3469,-2.4155,1
CENTER,0.7595,-2.8391,1
CENTER,0.6313,-2.4623,1
CENTER,-0.5776,-2.2569999999999997,1
CENTER,0.9708,-1.4332,1
CENTER,-0.8,-2.3182,1
CENTER,-0.2137,-0.0078,1
CENTER,0.2445,-2.2341,1
CENTER,0.6543,-1.7837,1
CENTER,-0.3435,-1.3765,1
CENTER,-0.0246,-1.7930000000000001,1
CENTER,-0.48,-1.7899,1
CENTER,-0.1225,-0.7601,1
CENTER,-0.0474,-0.1945,1
CENTER,0.9556,-2.6349,1
CENTER,-0.1793,-0.5221,1
CENTER,-0.6104,-1.7445,1
CENTER,0.8613,-2.3595,1
CENTER,0.6959,-1.7407,1
CENTER,-0.0629,0.9009,1
CENTER,-0.2188,2.8003,1
CENTER,-0.2978,-2.7627,1
CENTER,0.9644,-1.8405,1
CENTER,-0.8275,-1.0674,1
CENTER,0.1246,1.3582,1
CENTER,-0.413,-0.3495,1
CENTER,-0.244,-2.1532,1
CENTER,-0.1777,-0.5481,1
CENTER,-0.4979,-1.1373,1
CENTER,-0.8485,-1.4928,1
CENTER,0.0173,1.7043,1
CENTER,-0.5454,-1.8622,1
CENTER,0.2162,2.7592,1
CENTER,-0.4812,-1.3735,1
CENTER,-0.1237,-2.7751,1
CENTER,0.278,-1.3359,1
CENTER,0.3205,-0.9877,1
CENTER,-0.11599999999999999,-2.4739,1
CENTER,-0.9951,-2.4891,1
CENTER,0.2018,2.5004,1
CENTER,-0.4295,0.6709,1
CENTER,0.4588,-2.0186,1
CENTER,-0.4139,0.1302,1
CENTER,0.6281,-2.7391,1
CENTER,0.0598,-1.1085,1
CENTER,-0.0682,0.7647,1
CENTER,0.3441,-2.3451,1
CENTER,0.3614,-2.4347,1
CENTER,0.0824,-1.9947,1
CENTER,-0.0023,1.9148,1
CENTER,0.1889,2.773,1
CENTER,-0.1563,-0.2372,1
CENTER,0.1809,2.9428,1
CENTER,0.7043,-1.3241,1
CENTER,0.3198,-2.2804,1
CENTER,-0.6667,-2.4307,1
CENTER,0.3756,-2.8546,1
CENTER,0.3479,-2.0439,1
CENTER,-0.5351,-2.9161,1
CENTER,0.1121,1.2929,1
CENTER,-0.5452,-2.3518,1
CENTER,0.0397,-1.0023,1
CENTER,-0.0017,1.4314,1
CENTER,0.1127,-1.5532,1
CENTER,-0.3489,-0.7669,1
CENTER,-0.1711,1.2297,1
CENTER,-0.055,-1.4108,1
CENTER,0.9782,-2.7143,1
CENTER,0.0918,1.5255,1
CENTER,0.2117,0.7094,1
CENTER,0.7982,-2.1216,1
CENTER,-0.6818,-1.8433,1
CENTER,-0.8741,-2.0206,1
CENTER,0.1021,-0.5547,1
CENTER,-0.8398,-2.9085,1
CENTER,0.5916,-1.0349,1
CENTER,0.1888,-1.8552,1
CENTER,0.3168,-1.8555,1
CENTER,-0.1691,-1.6668,1
CENTER,-0.3775,0.0371,1
CENTER,0.5236,-2.6443,1
CENTER,0.0457,-1.0478,1
CENTER,-0.9842,-2.2212,1
CENTER,0.2,2.0795,1
CENTER,0.3168,-1.7154,1
CENTER,-0.0913,-2.0658,1
CENTER,-0.1827,-1.3741,1
CENTER,-0.1664,1.33,1
CENTER,-0.1113,-2.4977,1
CENTER,-0.7346,-1.4977,1
CENTER,-0.7257,-1.7988,1
CENTER,-0.016,1.2543,1
CENTER,0.0054,2.0879,1
CENTER,-0.4351,0.3373,1
CENTER,0.8021,-1.0394,1
CENTER,-0.0443,-0.7404,1
CENTER,0.6058,-2.094,1
CENTER,-0.5661,-2.9972,1
CENTER,-0.0213,-0.3235,1
CENTER,-0.25,0.5524,1
CENTER,0.2134,-1.4155,1
CENTER,-0.0878,-2.1063,1
CENTER,-0.0185,0.3255,1
CENTER,0.0683,1.5938,1
CENTER,0.085,0.1076,1
CENTER,-0.1376,-0.1118,1
CENTER,0.5562,-2.0247,1
CENTER,-0.4085,0.7926,1
CENTER,-0.5514,-2.6455,1
CENTER,-0.7799,-2.6524,1
CENTER,-0.0912,1.0247,1
CENTER,-0.6435,-1.4699,1
CENTER,0.3339,0.9959,1
CENTER,0.0067,-2.1376,1
CENTER,0.9704,-2.4689,1
CENTER,0.8557,-2.1685,1
CENTER,-0.8803,-2.5182,1
CENTER,0.11,-1.3159,1
CENTER,0.2352,-1.26,1
CENTER,0.3982,-1.9131,1
CENTER,0.1238,-1.1476,1
CENTER,0.9805,-1.3271,1
CENTER,0.1604,2.1615,1
